cell,replicate,block_id,env,onset,disturbed,leakfree,eligible,u_post,o_post,u_pre,o_pre,u_falltick,o_falltick
stand_motor,process_01,9,0,107,True,True,False,False,False,True,True,72,72
stand_motor,process_01,9,1,107,True,True,True,False,True,False,False,-1,152
stand_motor,process_01,9,2,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,3,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,4,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,5,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,6,107,True,True,True,False,True,False,False,-1,171
stand_motor,process_01,9,7,107,True,True,True,False,True,False,False,-1,149
stand_motor,process_01,9,8,107,True,True,True,False,True,False,False,-1,179
stand_motor,process_01,9,9,107,True,True,True,True,True,False,False,154,153
stand_motor,process_01,9,10,107,True,True,True,True,True,False,False,145,133
stand_motor,process_01,9,11,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,12,107,True,True,True,True,True,False,False,146,128
stand_motor,process_01,9,13,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,14,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,9,15,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,10,0,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,1,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,2,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,3,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,4,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,5,184,True,False,True,False,True,False,False,-1,220
stand_motor,process_01,10,6,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,7,184,True,False,True,False,True,False,False,-1,239
stand_motor,process_01,10,8,184,True,False,True,True,True,False,False,211,199
stand_motor,process_01,10,9,184,True,False,True,False,True,False,False,-1,254
stand_motor,process_01,10,10,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,11,184,True,False,True,False,True,False,False,-1,254
stand_motor,process_01,10,12,184,True,False,True,False,True,False,False,-1,220
stand_motor,process_01,10,13,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,14,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,10,15,184,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,0,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,1,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,2,141,True,False,True,False,True,False,False,-1,172
stand_motor,process_01,11,3,141,True,False,True,False,True,False,False,-1,229
stand_motor,process_01,11,4,141,True,False,True,True,True,False,False,170,161
stand_motor,process_01,11,5,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,6,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,7,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,8,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,9,141,True,False,True,False,True,False,False,-1,169
stand_motor,process_01,11,10,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,11,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,12,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,13,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,14,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,11,15,141,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,0,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,1,180,True,False,True,True,True,False,False,229,205
stand_motor,process_01,12,2,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,3,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,4,180,True,False,True,False,True,False,False,-1,225
stand_motor,process_01,12,5,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,6,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,7,180,True,False,True,False,True,False,False,-1,244
stand_motor,process_01,12,8,180,True,False,True,False,True,False,False,-1,207
stand_motor,process_01,12,9,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,10,180,True,False,True,True,True,False,False,217,200
stand_motor,process_01,12,11,180,True,False,True,False,True,False,False,-1,217
stand_motor,process_01,12,12,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,13,180,True,False,True,True,True,False,False,215,206
stand_motor,process_01,12,14,180,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,12,15,180,True,False,True,True,True,False,False,235,201
stand_motor,process_01,13,0,143,True,False,True,False,True,False,False,-1,178
stand_motor,process_01,13,1,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,2,143,True,False,True,False,True,False,False,-1,188
stand_motor,process_01,13,3,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,4,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,5,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,6,143,True,False,True,True,False,False,False,211,-1
stand_motor,process_01,13,7,143,True,False,True,True,True,False,False,192,164
stand_motor,process_01,13,8,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,9,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,10,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,11,143,True,False,True,True,True,False,False,192,168
stand_motor,process_01,13,12,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,13,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,14,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,13,15,143,True,False,True,False,True,False,False,-1,174
stand_motor,process_01,14,0,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,1,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,2,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,3,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,4,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,5,142,True,False,True,False,True,False,False,-1,162
stand_motor,process_01,14,6,142,True,False,True,False,True,False,False,-1,193
stand_motor,process_01,14,7,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,8,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,9,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,10,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,11,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,12,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,13,142,True,False,True,False,False,False,False,-1,-1
