cell,replicate,policy,family,block_id,block_index,onset,disturbed,seed,obs_noise,motor_scale,command_speed,divergent,leakfree,onset_obs_maxdiff,n_eligible,u_post_rate,o_post_rate,effect,u_pre_rate,o_pre_rate,pre_effect,u_fell,o_fell,u_falltick_med,u_task,o_task,pre_fall_env_diff
walk_motor,process_01,walk,motor,9,9,102,True,762403537,,0.5422354932530633,,False,True,0.0,15,0.2,0.4,-0.2,0.0625,0.0625,0.0,0.25,0.4375,-1.0,0.75,0.5625,0
walk_motor,process_01,walk,motor,10,10,103,True,579665824,,0.4600588444172299,,False,True,0.0,16,0.625,0.6875,-0.0625,0.0,0.0,0.0,0.625,0.6875,118.0,0.375,0.3125,0
walk_motor,process_01,walk,motor,11,11,134,True,802735727,,0.4345317455514229,,True,False,11.38186264038086,16,0.4375,0.5,-0.0625,0.0,0.0,0.0,0.4375,0.5,-1.0,0.5625,0.5,0
walk_motor,process_01,walk,motor,12,12,120,True,584756887,,0.5302794489926391,,True,False,3.2653756141662598,15,0.2,0.2,0.0,0.0625,0.0625,0.0,0.25,0.25,-1.0,0.75,0.75,0
walk_motor,process_01,walk,motor,13,13,178,True,1486942479,,0.4525741452092549,,True,False,4.004885673522949,16,0.5,0.4375,0.0625,0.0,0.0,0.0,0.5,0.4375,91.5,0.5,0.5625,0
walk_motor,process_01,walk,motor,14,14,179,True,1035529123,,0.5018570770047157,,True,False,3.9438838958740234,16,0.4375,0.5625,-0.125,0.0,0.0,0.0,0.4375,0.5625,-1.0,0.5625,0.4375,0
walk_motor,process_01,walk,motor,15,15,157,True,1189431942,,0.5392112842835279,,True,False,3.448988199234009,15,0.4,0.5333333333333333,-0.1333333333333333,0.0625,0.0625,0.0,0.4375,0.5625,-1.0,0.5625,0.4375,0
walk_motor,process_01,walk,motor,16,16,142,True,243398570,,0.42102237329525016,,True,False,4.799441337585449,15,0.6,0.6,0.0,0.0625,0.0625,0.0,0.625,0.625,145.5,0.375,0.375,0
walk_motor,process_01,walk,motor,17,17,110,True,1745371052,,0.542331611157096,,False,True,0.0,15,0.2,0.13333333333333333,0.06666666666666668,0.0625,0.0625,0.0,0.25,0.1875,-1.0,0.75,0.8125,0
walk_motor,process_01,walk,motor,18,18,130,True,1221149951,,0.5365673648096784,,True,False,2.767371654510498,13,0.23076923076923078,0.38461538461538464,-0.15384615384615385,0.1875,0.1875,0.0,0.375,0.5,-1.0,0.625,0.5,0
